Date,USD to PLN Rate
2024-01-02,3.9432
2024-01-03,3.9909
2024-01-04,3.9684
2024-01-05,3.985
2024-01-08,3.9812
2024-01-09,3.9612
2024-01-10,3.9656
2024-01-11,3.968
2024-01-12,3.9746
2024-01-15,3.9963
2024-01-16,4.0358
2024-01-17,4.0434
2024-01-18,4.0437
2024-01-19,4.0289
2024-01-22,3.9972
2024-01-23,4.0133
2024-01-24,4.0131
2024-01-25,4.0189
2024-01-26,4.0393
2024-01-29,4.0326
2024-01-30,4.0301
2024-01-31,4.0135
2024-02-01,4.0047
2024-02-02,3.9641
2024-02-05,4.0244
2024-02-06,4.0484
2024-02-07,4.0362
2024-02-08,4.0292
2024-02-09,4.0096
2024-02-12,4.0189
2024-02-13,4.0136
2024-02-14,4.0593
2024-02-15,4.0495
2024-02-16,4.0325
2024-02-19,4.0269
2024-02-20,3.9994
2024-02-21,3.9966
2024-02-22,3.9804
2024-02-23,4.005
2024-02-26,3.9776
2024-02-27,3.9682
2024-02-28,3.9922
2024-02-29,3.9803
2024-03-01,3.9922
2024-03-04,3.982
2024-03-05,3.9838
2024-03-06,3.963
2024-03-07,3.9485
2024-03-08,3.9392
2024-03-11,3.9262
2024-03-12,3.9162
2024-03-13,3.9269
2024-03-14,3.9183
2024-03-15,3.9392
2024-03-18,3.9528
2024-03-19,3.9866
2024-03-20,3.9895
2024-03-21,3.9431
2024-03-22,3.9928
2024-03-25,3.9833
2024-03-26,3.9704
2024-03-27,3.9857
2024-03-28,4.0081
2024-03-29,3.9886
2024-04-02,4.0009
2024-04-03,3.9843
2024-04-04,3.9515
2024-04-05,3.9571
2024-04-08,3.9546
2024-04-09,3.9223
2024-04-10,3.9264
2024-04-11,3.9707
2024-04-12,3.9983
2024-04-15,4.0209
2024-04-16,4.0687
2024-04-17,4.0741
2024-04-18,4.0559
2024-04-19,4.0688
2024-04-22,4.054
2024-04-23,4.061
2024-04-24,4.0417
2024-04-25,4.0276
2024-04-26,4.0245
2024-04-29,4.0346
2024-04-30,4.0341
2024-05-02,4.0474
2024-05-06,4.0202
2024-05-07,4.0056
2024-05-08,4.0202
2024-05-09,4.0076
2024-05-10,3.9866
2024-05-13,3.9853
2024-05-14,3.9701
2024-05-15,3.9368
2024-05-16,3.9195
2024-05-17,3.9363
2024-05-20,3.9149
2024-05-21,3.9175
2024-05-22,3.9243
2024-05-23,3.9394
2024-05-24,3.9376
2024-05-27,3.9196
2024-05-28,3.9183
2024-05-29,3.9244
2024-05-31,3.9389
2024-06-03,3.9501
2024-06-04,3.9448
2024-06-05,3.9607
2024-06-06,3.953
2024-06-07,3.9389
2024-06-10,4.0159
2024-06-11,4.0443
2024-06-12,4.0342
2024-06-13,4.0119
2024-06-14,4.076
2024-06-17,4.0728
2024-06-18,4.0549
2024-06-19,4.0387
2024-06-20,4.0345
2024-06-21,4.0527
2024-06-24,4.0319
2024-06-25,3.9975
2024-06-26,4.0291
2024-06-27,4.0312
2024-06-28,4.032
2024-07-01,3.9915
2024-07-02,4.0375
2024-07-03,3.999
2024-07-04,3.9784
2024-07-05,3.9581
2024-07-08,3.947
2024-07-09,3.9391
2024-07-10,3.9324
2024-07-11,3.9257
2024-07-12,3.9099
2024-07-15,3.896
2024-07-16,3.9083
2024-07-17,3.921
2024-07-18,3.9296
2024-07-19,3.9461
2024-07-22,3.9307
2024-07-23,3.9355
2024-07-24,3.9498
2024-07-25,3.9619
2024-07-26,3.9415
2024-07-29,3.9556
2024-07-30,3.9567
2024-07-31,3.9689
2024-08-01,3.9802
2024-08-02,3.9672
2024-08-05,3.9331
2024-08-06,3.9467
2024-08-07,3.9526
2024-08-08,3.952
2024-08-09,3.9604
2024-08-12,3.9488
2024-08-13,3.9314
2024-08-14,3.8963
2024-08-16,3.8914
2024-08-19,3.8682
2024-08-20,3.8506
2024-08-21,3.8565
2024-08-22,3.8456
2024-08-23,3.8453
2024-08-26,3.8284
2024-08-27,3.8331
2024-08-28,3.8539
2024-08-29,3.867
2024-08-30,3.8644
2024-09-02,3.8684
2024-09-03,3.8701
2024-09-04,3.8738
2024-09-05,3.8487
2024-09-06,3.8489
2024-09-09,3.8758
2024-09-10,3.8798
2024-09-11,3.8816
2024-09-12,3.9025
2024-09-13,3.8659
2024-09-16,3.8438
2024-09-17,3.8354
2024-09-18,3.8358
2024-09-19,3.8249
2024-09-20,3.8317
2024-09-23,3.8571
2024-09-24,3.83
2024-09-25,3.8117
2024-09-26,3.8294
2024-09-27,3.8368
2024-09-30,3.8193
2024-10-01,3.859
2024-10-02,3.8792
2024-10-03,3.8951
2024-10-04,3.9118
2024-10-07,3.9368
2024-10-08,3.9299
2024-10-09,3.9266
2024-10-10,3.9355
2024-10-11,3.9204
2024-10-14,3.9288
2024-10-15,3.9332
2024-10-16,3.9468
2024-10-17,3.9786
2024-10-18,3.9718
2024-10-21,3.9775
2024-10-22,3.9862
2024-10-23,4.0176
2024-10-24,4.0168
2024-10-25,4.0219
2024-10-28,4.0207
2024-10-29,4.0251
2024-10-30,3.9989
2024-10-31,4.0059
2024-11-04,3.9869
2024-11-05,4.0038
2024-11-06,4.0595
2024-11-07,4.0414
2024-11-08,4.0117
2024-11-12,4.1011
2024-11-13,4.0853
2024-11-14,4.122
2024-11-15,4.0898
2024-11-18,4.0997
2024-11-19,4.1052
2024-11-20,4.112
2024-11-21,4.1332
2024-11-22,4.1752
2024-11-25,4.1297
2024-11-26,4.1073
2024-11-27,4.0974
2024-11-28,4.0907
2024-11-29,4.077
2024-12-02,4.0827
2024-12-03,4.0803
2024-12-04,4.0845
2024-12-05,4.0554
2024-12-06,4.0341
2024-12-09,4.0298
2024-12-10,4.0518
2024-12-11,4.0628
2024-12-12,4.074
2024-12-13,4.0738
2024-12-16,4.0571
2024-12-17,4.0623
2024-12-18,4.0621
2024-12-19,4.0944
2024-12-20,4.1002
2024-12-23,4.095
2024-12-24,4.1127
2024-12-27,4.1036
2024-12-30,4.096
2024-12-31,4.1012
2025-01-02,4.1219
2025-01-03,4.1512
2025-01-07,4.077
2025-01-08,4.1335
2025-01-09,4.1523
2025-01-10,4.1415
2025-01-13,4.1904
2025-01-14,4.1658
2025-01-15,4.133
2025-01-16,4.1433
2025-01-17,4.1462
2025-01-20,4.1321
2025-01-21,4.1101
2025-01-22,4.0646
2025-01-23,4.0515
2025-01-24,4.0124
2025-01-27,4.021
2025-01-28,4.0337
2025-01-29,4.0443
2025-01-30,4.0393
2025-01-31,4.0576
2025-02-03,4.1352
2025-02-04,4.0864
2025-02-05,4.0426
2025-02-06,4.0613
2025-02-07,4.0321
2025-02-10,4.0548
2025-02-11,4.0497
2025-02-12,4.0215
2025-02-13,3.996
2025-02-14,3.972
2025-02-17,3.9749
2025-02-18,3.9729
2025-02-19,3.9875
2025-02-20,3.9974
2025-02-21,3.9835
2025-02-24,3.9734
2025-02-25,3.947
2025-02-26,3.9434
2025-02-27,3.9459
2025-02-28,3.9993
2025-03-03,4.0112
2025-03-04,3.9543
2025-03-05,3.8785
2025-03-06,3.8674
2025-03-07,3.8448
2025-03-10,3.8573
2025-03-11,3.8481
2025-03-12,3.8496
2025-03-13,3.8568
2025-03-14,3.8509
2025-03-17,3.8329
2025-03-18,3.8152
2025-03-19,3.8473
2025-03-20,3.8675
2025-03-21,3.8774
2025-03-24,3.859
2025-03-25,3.8578
2025-03-26,3.8614
2025-03-27,3.8913
2025-03-28,3.8817
2025-03-31,3.8643
2025-04-01,3.8656
2025-04-02,3.8707
2025-04-03,3.7968
2025-04-04,3.856
2025-04-07,3.9097
2025-04-08,3.927
2025-04-09,3.8828
2025-04-10,3.8637
2025-04-11,3.7606
2025-04-14,3.7564
2025-04-15,3.7692
2025-04-16,3.7851
2025-04-17,3.7684
2025-04-18,3.7661
2025-04-22,3.722
2025-04-23,3.7583
2025-04-24,3.7599
2025-04-25,3.7611
2025-04-28,3.7701
2025-04-29,3.7458
2025-04-30,3.7617
2025-05-02,3.7722
2025-05-05,3.7752
2025-05-06,3.7789
2025-05-07,3.7642
2025-05-08,3.784
2025-05-09,3.7681
2025-05-12,3.8011
2025-05-13,3.8266
2025-05-14,3.7775
2025-05-15,3.7804
2025-05-16,3.7853
2025-05-19,3.8004
2025-05-20,3.7747
2025-05-21,3.7452
2025-05-22,3.7559
2025-05-23,3.7506
2025-05-26,3.7344
2025-05-27,3.743
2025-05-28,3.7456
2025-05-29,3.7588
2025-05-30,3.7537
2025-06-02,3.7282
2025-06-03,3.7437
2025-06-04,3.7525
2025-06-05,3.7495
2025-06-06,3.7565
2025-06-09,3.7427
2025-06-10,3.7352
2025-06-11,3.7306
2025-06-12,3.6929
2025-06-13,3.7056
2025-06-16,3.6804
2025-06-17,3.7005
2025-06-18,3.7137
2025-06-20,3.7067
2025-06-23,3.7212
2025-06-24,3.6753
2025-06-25,3.659
2025-06-26,3.6222
2025-06-27,3.6177
2025-06-30,3.6164
2025-07-01,3.593
2025-07-02,3.609
2025-07-03,3.6137
2025-07-04,3.6108
2025-07-07,3.6269
2025-07-08,3.6135
2025-07-09,3.6198
2025-07-10,3.6209
2025-07-11,3.6432
2025-07-14,3.6475
2025-07-15,3.6396
2025-07-16,3.6631
2025-07-17,3.6686
2025-07-18,3.6535
2025-07-21,3.6455
2025-07-22,3.6353
2025-07-23,3.626
2025-07-24,3.6158
2025-07-25,3.6228
2025-07-28,3.6446
2025-07-29,3.6941
2025-07-30,3.6981
2025-07-31,3.7257
2025-08-01,3.7536
2025-08-04,3.6977
2025-08-05,3.7066
2025-08-06,3.6994
2025-08-07,3.6477
2025-08-08,3.6577
2025-08-11,3.6495
2025-08-12,3.6702
2025-08-13,3.6353
2025-08-14,3.6542
2025-08-18,3.6434
2025-08-19,3.6332
2025-08-20,3.654
2025-08-21,3.6483
2025-08-22,3.6786
2025-08-25,3.6421
2025-08-26,3.6716
2025-08-27,3.6793
2025-08-28,3.6658
2025-08-29,3.6559
2025-09-01,3.6278
2025-09-02,3.6626
2025-09-03,3.6538
2025-09-04,3.6501
2025-09-05,3.6357
2025-09-08,3.6214
2025-09-09,3.6173
2025-09-10,3.6414
2025-09-11,3.6459
2025-09-12,3.635
2025-09-15,3.6188
2025-09-16,3.6034
2025-09-17,3.5919
2025-09-18,3.5986
2025-09-19,3.6278
2025-09-22,3.6255
2025-09-23,3.605
2025-09-24,3.6254
2025-09-25,3.6295
2025-09-26,3.6528
2025-09-29,3.6411
2025-09-30,3.6315
2025-10-01,3.6245
2025-10-02,3.621
2025-10-03,3.6253
2025-10-06,3.6446
2025-10-07,3.6481
2025-10-08,3.6619
2025-10-09,3.6659
2025-10-10,3.6778
2025-10-13,3.6763
2025-10-14,3.6897
2025-10-15,3.6585
2025-10-16,3.6467
2025-10-17,3.6388
2025-10-20,3.6349
2025-10-21,3.6479
2025-10-22,3.6591
2025-10-23,3.6519
2025-10-24,3.6481
2025-10-27,3.6395
2025-10-28,3.6327
2025-10-29,3.6399
2025-10-30,3.652
2025-10-31,3.6751
2025-11-03,3.6933
2025-11-04,3.7019
2025-11-05,3.7091
2025-11-06,3.6971
2025-11-07,3.6818
2025-11-10,3.661
2025-11-12,3.657
2025-11-13,3.6417
2025-11-14,3.6376
2025-11-17,3.64
2025-11-18,3.6525
2025-11-19,3.6656
2025-11-20,3.6684
2025-11-21,3.6868
2025-11-24,3.6726
2025-11-25,3.6675
2025-11-26,3.6578
2025-11-27,3.651
2025-11-28,3.6624
2025-12-01,3.6383
2025-12-02,3.6512
2025-12-03,3.6333
2025-12-04,3.6221
2025-12-05,3.6313
2025-12-08,3.63
2025-12-09,3.6336
2025-12-10,3.6329
2025-12-11,3.6132
2025-12-12,3.6027
2025-12-15,3.5928
2025-12-16,3.593
2025-12-17,3.5976
2025-12-18,3.5893
2025-12-19,3.5941
2025-12-22,3.5904
2025-12-23,3.5848
2025-12-29,3.5898
2025-12-30,3.5936
2025-12-31,3.6016
